Time [s],Value
1.027867312500000,0b  0000  0000  0000  0101
1.027868312500000,0b  0000  0000  0000  0101
1.027869312500000,0b  0000  0000  0000  0101
1.027870312500000,0b  0000  0000  0000  0101
1.027871312500000,0b  0000  0000  0000  0101
1.027872312500000,0b  0000  0000  0000  0101
1.027873312500000,0b  0000  0000  0000  0101
1.027874312500000,0b  0000  0000  0000  0101
1.027875312500000,0b  0000  0000  0000  0101
1.027876312500000,0b  0000  0000  0000  0101
1.027877312500000,0b  0000  0000  0000  0101
1.027878312500000,0b  0000  0000  0000  0111
1.027879312500000,0b  0000  0000  0000  0101
1.027880312500000,0b  0000  0000  0000  0101
1.027881312500000,0b  0000  0000  0000  0101
1.027882312500000,0b  0000  0000  0000  0101
1.027883312500000,0b  0000  0000  0000  0101
1.027884312500000,0b  0000  0000  0000  0101
1.027885312500000,0b  0000  0000  0000  0101
1.027886312500000,0b  0000  0000  0000  0101
1.027887312500000,0b  0000  0000  0000  0101
1.027888312500000,0b  0000  0000  0000  0101
1.027889312500000,0b  0000  0000  0000  0101
1.027890312500000,0b  0000  0000  0000  0101
1.027891312500000,0b  0000  0000  0000  0101
1.027892312500000,0b  0000  0000  0000  0111
1.027893312500000,0b  0000  0000  0000  0101
1.027894312500000,0b  0000  0000  0000  0101
1.027895312500000,0b  0000  0000  0000  0101
1.027896312500000,0b  0000  0000  0000  0101
1.027897312500000,0b  0000  0000  0000  0101
1.027898312500000,0b  0000  0000  0000  0101
1.027899312500000,0b  0000  0000  0000  0111
1.027900312500000,0b  0000  0000  0000  0101
1.027901312500000,0b  0000  0000  0000  0101
1.027902312500000,0b  0000  0000  0000  0101
1.027903312500000,0b  0000  0000  0000  0101
1.027904312500000,0b  0000  0000  0000  0101
1.027905312500000,0b  0000  0000  0000  0101
1.027906312500000,0b  0000  0000  0000  0101
1.027907312500000,0b  0000  0000  0000  0101
1.027908312500000,0b  0000  0000  0000  0101
1.027909312500000,0b  0000  0000  0000  0101
1.027910312500000,0b  0000  0000  0000  0101
1.027911312500000,0b  0000  0000  0000  0101
1.027912312500000,0b  0000  0000  0000  0101
1.027913312500000,0b  0000  0000  0000  0101
1.027914312500000,0b  0000  0000  0000  0101
1.027915312500000,0b  0000  0000  0000  0101
1.027916312500000,0b  0000  0000  0000  0101
1.027917312500000,0b  0000  0000  0000  0101
1.027918312500000,0b  0000  0000  0000  0101
1.027919312500000,0b  0000  0000  0000  0101
1.027920312500000,0b  0000  0000  0000  0111
1.027921312500000,0b  0000  0000  0000  0101
1.027922312500000,0b  0000  0000  0000  0101
1.027923312500000,0b  0000  0000  0000  0111
1.027924312500000,0b  0000  0000  0000  0101
1.027925312500000,0b  0000  0000  0000  0101
1.027926312500000,0b  0000  0000  0000  0101
1.027927312500000,0b  0000  0000  0000  0101
1.027928312500000,0b  0000  0000  0000  0101
1.027929312500000,0b  0000  0000  0000  0101
1.027930312500000,0b  0000  0000  0000  0101
1.027931312500000,0b  0000  0000  0000  0111
1.027932312500000,0b  0000  0000  0000  0101
1.027933312500000,0b  0000  0000  0000  0101
1.027934312500000,0b  0000  0000  0000  0101
1.027935312500000,0b  0000  0000  0000  0101
1.027936312500000,0b  0000  0000  0000  0101
1.027937312500000,0b  0000  0000  0000  0101
1.027938312500000,0b  0000  0000  0000  0101
1.027939312500000,0b  0000  0000  0000  0101
1.027940312500000,0b  0000  0000  0000  0101
1.027941312500000,0b  0000  0000  0000  0101
1.027942312500000,0b  0000  0000  0000  0101
1.027943312500000,0b  0000  0000  0000  0101
1.027944312500000,0b  0000  0000  0000  0101
1.027945312500000,0b  0000  0000  0000  0101
